phrase	count	pmi	parts_gloss	ref
אל פנימ	8	4.77	אלוהות, אלהים · פנים, מראה	פיוט #92 — הנכבד ויתמר ישתבח *לאדונן אבישע
באו ורשו	8	12.3	או (מילית ברירה) · ראשות, תחילה	פיוט #92 — הנכבד ויתמר ישתבח *לאדונן אבישע
פנימ אל פנימ	8	17.62	פנים, מראה · אלוהות, אלהים · פנים, מראה	פיוט #92 — הנכבד ויתמר ישתבח *לאדונן אבישע
לאל עליונ	8	7.72	שם פרטי · עליהם	פיוט #93 — צלות שבת צמות הפסח
אימר לוכונ	8	9.83	1. אמירה, דיבור, מוצא  · לכם	פיוט #93 — צלות שבת צמות הפסח
אשר נתנ	8	4.39	דברים · נתינה ומסירה, הרשאה	פיוט #94 — צלות שבת צמות הפסח
הצדיק הנאמנ	8	8.0	צדיק, הולך בצדק ובהגינ · עמידה, וקיום, התמדה, א	פיוט #94 — צלות שבת צמות הפסח
בעמלמ סלח	8	8.91	בעל חיים, בהמה · לסלוח	פיוט #94 — צלות שבת צמות הפסח
בעמלמ סלח נא	8	19.99	בעל חיים, בהמה · לסלוח · מילת זירוז: שאל נא, אנ	פיוט #94 — צלות שבת צמות הפסח
לנו תפלות אדוננ משה	8	26.5	לנו · קל ירק spitting: ירק ב · אדון, מושל, ראשי · משה (שם פרטי)	פיוט #94 — צלות שבת צמות הפסח
מרי אמנ	8	3.59	אדון (נאמר על האלוהים) · עמידה, וקיום, התמדה, א	פיוט #95 — צלות שבת צמות הפסח
פרד זבנו	8	11.72	הפרדה, ייחוד ופירוט di · פעם, recurrence	פיוט #95 — צלות שבת צמות הפסח
כל ספרי	8	5.62	כל, כולו · מסירת דברים בכתב	פיוט #96 — צלות שבת צמות הפסח
על לבכ	8	4.15	על (מילת יחס) · לבך	פיוט #96 — צלות שבת צמות הפסח
יקבל צלותכ	8	9.97	נשא חטא, חובה, אשמה · לשקוע, להיטבע במים	פיוט #96 — צלות שבת צמות הפסח
הר השכינה	8	10.54	הר - הר · כינוי לאל, השכינה (כתו	פיוט #96 — צלות שבת צמות הפסח
ואמר סלח	8	5.96	אדון (נאמר על האלוהים) · לסלוח	פיוט #97 — צלות שבת צמות הפסח
הארצ הטובה	8	8.68	ארץ, אדמה · gem, אבן טובה	פיוט #97 — צלות שבת צמות הפסח
הארצ אשר	8	2.74	ארץ, אדמה · דברים	פיוט #97 — צלות שבת צמות הפסח
הזקינימ אלקטפ	8	11.22	נאד, מכל מים, אוב מים · אלקטפ	פיוט #98 — צלות לילת חדש הראישון רטשה
עד ארבעה	8	7.4	עד, כמקום (as far as)  · בכירות, קדימות	פיוט #102 — דפסח אלה על בתיון
יעבר עמכ	8	8.12	עבר (intrans.) · עמך	פיוט #102 — דפסח אלה על בתיון
אל הטבעית	8	5.44	אלוהות, אלהים · לשקוע, לטבוע (אינטרנזי	פיוט #102 — דפסח אלה על בתיון
לכמ למשמרת עד	8	17.59	מהלך, אורך דרך (length · מקור: דרך ישראל (לעלות · עד, כמקום (as far as) 	פיוט #102 — דפסח אלה על בתיון
רמה חיה	8	8.56	תולעה · אל נא, חלילה, pray	פיוט #103 — צלות לילה חדש הראישון רמשה
לכמ ראש החדשימ	8	18.96	מהלך, אורך דרך (length · ראש, שם פרטי · חידוש, תקופת הירח, חוד	פיוט #103 — צלות לילה חדש הראישון רמשה
הזה לכמ ראש החדשימ	8	28.92	זה, this · מהלך, אורך דרך (length · ראש, שם פרטי · חידוש, תקופת הירח, חוד	פיוט #103 — צלות לילה חדש הראישון רמשה
ארבע עשר	8	6.69	ארבע (עם שמות נקבה) · עשר, מספר עשרה	פיוט #104 — צלות לילת חדש הראישון רמשה
אימנות משה	8	6.64	בצירוף קפוא עם כינוי ה · משה (שם פרטי)	פיוט #104 — צלות לילת חדש הראישון רמשה
מימר הזקנ	8	9.0	משה · זקנה, גיל מבוגר	פיוט #105 — יעמר אתריכון ן וחתמת מימרי • כן ירתי חייכון
מנ מימר הזקנ	8	14.94	דברים · משה · זקנה, גיל מבוגר	פיוט #105 — יעמר אתריכון ן וחתמת מימרי • כן ירתי חייכון
בכל לילה ויוממ	8	20.57	כל, כולו · לילה · יומם	פיוט #106 — צלות לילת חדש הראישון רמשה
ירתי חייכונ	8	10.82	ירושה, העברת רכוש מדור · קיום, חיים, עשייה למען	פיוט #108 — צלות לילת חדש הראישון רטשה
כל אלפנימ	8	6.3	כל, כולו · ללמוד, לקשוט	פיוט #109 — גלות לילה חדש הראישון רמשה
מוראה לאלה	8	8.1	להאיר · אלוהות, אלהים	פיוט #110 — צלות לילה חדש הראישוץ רמשה
על האמת	8	5.56	על (מילת יחס) · מילית שאלה: האם? עד אי	פיוט #111 — צלות לילת חדש הראישון רמשה
מנ סדר	8	2.12	דברים · סדר, שורה, טור	פיוט #112 — צלות לילת חדש הראישון רמשה
הא כתיב	8	8.05	הנה · כתב, לכתוב	פיוט #113 — צלוה לילת חדש הראישון רמשה
ויתמר אהנו	8	7.76	תמר, עץ דקל ופרי (palm · הוא (כינוי גוף נפרד, ג	פיוט #113 — צלוה לילת חדש הראישון רמשה
ויתמר אהנו כתבה	8	19.11	תמר, עץ דקל ופרי (palm · הוא (כינוי גוף נפרד, ג · הספר	פיוט #113 — צלוה לילת חדש הראישון רמשה
יעקב רגליו	8	9.68	סוף, אחרית · רגליו	פיוט #116 — ישתבח
בתורה התמימה	8	10.8	תורה · תמים, חסר מום, מושלם	פיוט #116 — ישתבח
משה דמע כל הבשר	8	21.09	משה (שם פרטי) · דמעת העין · כל, כולו · flesh, בשר	פיוט #116 — ישתבח
דבר יהוה	8	2.19	הולכה, ניהול (conducti · יהוה, שם האלהים	פיוט #120 — רב אלה וכי בשם וישרו אלקטף
הוא ואינ	8	5.34	היה, to be (intrans.) · מילת בחירה: או	פיוט #121 — צלות ירם חדש הראישון צפרה
משה השליח	8	5.74	משה (שם פרטי) · שליח	פיוט #122 — וישתבח
עשר יומ	8	4.61	עשר, מספר עשרה · יחידת זמן: יום, שבת	פיוט #122 — וישתבח
בגדלו בחרכ אה	8	16.92	גדולה, עוצמה (greatnes · חלון (window) · הנה	פיוט #122 — וישתבח
בגדלו בחרכ אה ישראל	8	24.9	גדולה, עוצמה (greatnes · חלון (window) · הנה · ישראל, שמו של יעקב	פיוט #122 — וישתבח
דלעלמ ברישה ובעקבה בריכ	8	37.52	לעולם, לנצח · כפי · סוף, אחרית · ברך	פיוט #128 — אלהים אל עליון והא מלך רחמן ־• — ישתבח
אל האלהימ	8	2.13	אלוהות, אלהים · אלוהים, אל	פיוט #129 — צלות יום חדש הראישון אן אתא בשבת
יהוה בנ שלמה ירחמו	8	24.19	יהוה, שם האלהים · בן (בפירוש בכתבי יד) · שלמה · אהבה, חמלה	פיוט #129 — צלות יום חדש הראישון אן אתא בשבת
צלי אש	8	10.21	התפלל (imploring) · אש, להבה	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת
חדש האביב	8	10.45	חידוש, תקופת הירח, חוד · 1. תבואת השדה, דגן	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת
על פרעה	8	1.96	על (מילת יחס) · תואר מלך מצרים, פרעה	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת
פרעה וכל	8	4.37	תואר מלך מצרים, פרעה · מידה, מדידה	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת
על מצות ומרורימ	8	17.59	על (מילת יחס) · הקשבה, שמיעה · מרורים	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת
בנ יצחק	8	5.17	בן (בפירוש בכתבי יד) · אברהם אולד ית יצחק	פיוט #132 — צלות יום הדש הראישון אן אתא בשבת
נברכ והמוספ בה	8	19.07	להיות גבוה, נישא · תוספת, הוספה · האות בית, אות ראשית של	פיוט #132 — צלות יום הדש הראישון אן אתא בשבת
ברוכ אתה בחסדכ ברחמיכ	8	26.48	ברוך · אישה, woman · טוב, גמילת טובה, חסד · אהבה, חמלה	פיוט #132 — צלות יום הדש הראישון אן אתא בשבת
בפיאנו ובפי כל קהלינו	8	32.75	מילית היחס פי · מילית היחס פי · כל, כולו · ציבור, קיבוץ עם, gathe	פיוט #132 — צלות יום הדש הראישון אן אתא בשבת
על ידו שבתות	8	13.67	על (מילת יחס) · יד, אבר הגוף · ישיבה, שהייה בישיבה	פיוט #133 — צלות יום חדש הראישון אן אתא בשבת
על ידו שבתות ומועדימ	8	26.0	על (מילת יחס) · יד, אבר הגוף · ישיבה, שהייה בישיבה · מועד, זמן קבוע, אסיפה	פיוט #133 — צלות יום חדש הראישון אן אתא בשבת
וירפאכ מכל	8	8.77	רפואה, ריפוי · מכל	פיוט #134 — לחדש הזה
תעשו יומי	8	7.17	עשה, יצר · יום	פיוט #135 — צלית יו □ חדש הראישון אן אהא בשבת
בני אדמ	8	5.65	בני · אבן יקרה, גם	פיוט #137 — צלות יום חדש הראישון אז אתא בשבת
זה הנביא	8	3.73	זה, this · נביא, prophet	פיוט #137 — צלות יום חדש הראישון אז אתא בשבת
עליו שלמ	8	4.65	עליו · שלום	פיוט #137 — צלות יום חדש הראישון אז אתא בשבת
בנ אלעזר	8	5.69	בן (בפירוש בכתבי יד) · שם פרטי אלעזר	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
שמ משה	8	2.17	שם (בן נח) · משה (שם פרטי)	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
גדול הכהנימ	8	7.7	גדול · כאן, הנה (מציין מקום l	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
מי קבל	8	5.91	מילת שאלה לאדם: מי · נשא חטא, חובה, אשמה	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת
אהרנ את	8	3.32	אהרן (שם עצם: הכהן הגד · אתה (כינוי גוף שני זכר	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת
את ידו	8	3.76	אתה (כינוי גוף שני זכר · יד, אבר הגוף	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת
משה ויאמר	8	3.45	משה (שם פרטי) · 1. אמירה, דיבור, מוצא 	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת
על מצרימ	8	2.5	על (מילת יחס) · מצרים	פיוט #140 — צלות יום חדש הראישון אן אתא בשבת
מזה ומזה	8	10.23	ואלין בני רעואל נחת וז · ואלין בני רעואל נחת וז	פיוט #141 — התקה * הזאת למועדה
ביהוה ובמשה	8	10.4	יהוה, שם האלהים · משה (שם פרטי)	פיוט #141 — התקה * הזאת למועדה
במראה ולא	8	6.86	תורה וצוואה ומצוות · מילת שלילה והאיסור	פיוט #141 — התקה * הזאת למועדה
החקימ האלה	8	10.9	חלק, מנה, הקצבה · אלוהות, God	פיוט #141 — התקה * הזאת למועדה
ואחד הו יהוה	8	12.61	אחד · מתחבר למלה שלפניו, כגו · יהוה, שם האלהים	פיוט #141 — התקה * הזאת למועדה
וכנ ישמר חייכמ כלבמ	8	31.68	כך, כן (ציון אופן) · שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען · כלב (dog)	פיוט #141 — התקה * הזאת למועדה
והציל עמו	8	7.61	הצלה, רוח · ראו	פיוט #142 — עשר יום לחרש : בי ; הערבים פסח ליהוד
עבד היית	8	9.84	עשה, פעל · תווית המושא הרשות (fac	פיוט #143 — צלות יום חדש הראישון אץ אתא בשבת
מימר עבד יהוה	8	12.52	משה · עשה, פעל · יהוה, שם האלהים	פיוט #143 — צלות יום חדש הראישון אץ אתא בשבת
מנ מימר עבד יהוה	8	18.46	דברים · משה · עשה, פעל · יהוה, שם האלהים	פיוט #143 — צלות יום חדש הראישון אץ אתא בשבת
יהוד פניו	8	5.05	splendor, הדר, הוד · פנייה, turning	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת
אבותיכמ יספ	8	12.02	אָבוֹת · תוספת, הוספה	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת
אשר אמר פני	8	12.02	דברים · 1. אמירה, דיבור, מוצא  · פני	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת
יהוד פניו אליכ	8	16.15	splendor, הדר, הוד · פנייה, turning · אלוהות, אלהים	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת
מרנ מנ מימר	8	10.6	אדוננו · דברים · משה	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת
ומכל עקה	8	9.91	תוכחה · צרה, צוקה, יגון	פיוט #145 — צלות יו □ חדש הראישון אן אתא בשבת
מועד ומועד	8	7.05	מועד, זמן קבוע, אסיפה · מועד, זמן קבוע, אסיפה	פיוט #145 — צלות יו □ חדש הראישון אן אתא בשבת
לו לבדו	8	5.39	ועד · לבד, בלבד	פיוט #147 — צלות יום חדש הראישון אז אתא בשבת
ותתחסל הצלות	8	11.31	חלילה! far be it · לשקוע, להיטבע במים	פיוט #149 — צלות יום חדש הראישון אן אתא בשבת
התורה יתמר	8	7.51	תורה · תמר, עץ דקל ופרי (palm	פיוט #153 — האביב : ועשית פסח ליהוד • אלהיך
בו קרבנ תשבחנ	8	16.16	בו · קרבן, הקרבה · תהילות, שבחים	פיוט #157 — וישתבח לא נדע בעלה
בשמ וקטפ	8	6.83	בשם · משחה, סיכה על ראש	פיוט #158 — צלות השבת הראש דמן חדש הראישון
ויצא מכתב	8	9.29	לצאת, ללכת · כתיבה, מכתב	פיוט #158 — צלות השבת הראש דמן חדש הראישון
ידכ על	8	4.36	יד, אבר הגוף · על (מילת יחס)	פיוט #158 — צלות השבת הראש דמן חדש הראישון
ומנ אתהו	8	5.68	ומי · אתהו = הוא (משמש כפועל	פיוט #158 — צלות השבת הראש דמן חדש הראישון
ומנ אתהו דבריכ	8	18.18	ומי · אתהו = הוא (משמש כפועל · הולכה, ניהול (conducti	פיוט #158 — צלות השבת הראש דמן חדש הראישון
בחסדכ ויתברכ	8	10.89	טוב, גמילת טובה, חסד · ברך	פיוט #160 — צלות השבת הראש דמן חדש הראישון
זקנ ישראל אברהמ	8	15.78	זקנה, גיל מבוגר · ישראל, שמו של יעקב · שם פרטי: אברהם	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
אלהי אהרנ ואלעזר	8	16.61	אלוהות, God · אהרן (שם עצם: הכהן הגד · שם פרטי אלעזר	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
כל ראישונ	8	4.97	כל, כולו · ובני בנימים בלע ובכר ו	פיוט #166 — צלות השבת השני דמן חדש הראישון
רחמיו עליכ	8	6.99	אהבה, חמלה · עליך	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
מימר אברהמ	8	4.72	משה · שם פרטי: אברהם	פיוט #168 — צלות השבת השני דמן חדש הראישון
בגדלו אפרש	8	7.92	גדולה, עוצמה (greatnes · פרישה, אפרישות	פיוט #176 — צלות מועד הפסח צפרה בדקטם
אה קהל ישראל	8	12.07	הנה · ציבור, קיבוץ עם, gathe · ישראל, שמו של יעקב	פיוט #177 — ישתבח עבור סימניה ופליאתה • יתרבי אלה אלהית
והיה כי	8	5.41	דברים · כי, ש־ (before object 	פיוט #178 — אש ליל * וענן יומם
רבו ומה	8	6.03	1. גדולה, גדלות בעולמה · ומה	פיוט #183 — ופנית בבקר ישרו אלקטף
אשר יאמר	8	5.52	דברים · 1. אמירה, דיבור, מוצא 	פיוט #184 — צלות מועד הפסח צפרה בדקטס
יאמר היומ	8	7.57	1. אמירה, דיבור, מוצא  · יום	פיוט #184 — צלות מועד הפסח צפרה בדקטס
היומ בהר	8	7.21	יום · אחרי	פיוט #184 — צלות מועד הפסח צפרה בדקטס
עשה יהוה	8	1.98	עושה · יהוה, שם האלהים	פיוט #184 — צלות מועד הפסח צפרה בדקטס
אשר יאמר היומ	8	14.9	דברים · 1. אמירה, דיבור, מוצא  · יום	פיוט #184 — צלות מועד הפסח צפרה בדקטס
אדמ ונח	8	8.92	אבן יקרה, גם · לנוח, לנוח תחת אילן	פיוט #185 — צלות מועד הפסח במדינה
מעשה ידיכ	8	10.29	מעשה, מעשה טוב · יד, אבר הגוף	פיוט #185 — צלות מועד הפסח במדינה
בתר מיכל	8	8.77	אחר · מאכל, מזון	פיוט #186 — צלות מועד הפסח במדינה
ברית השלשה	8	7.9	ברית, covenant [הלוואה · השלשה	פיוט #186 — צלות מועד הפסח במדינה
בלב ירא	8	9.49	בלב · פחד, יראה	פיוט #187 — צלות מועד הפסח במדינה
מנ מימר זקנ	8	13.79	דברים · משה · זקנה, גיל מבוגר	פיוט #191 — צלות כועד הפסח במדינה
מימר זקנ ישראל	8	15.83	משה · זקנה, גיל מבוגר · ישראל, שמו של יעקב	פיוט #191 — צלות כועד הפסח במדינה
בהר יהוה	8	4.47	אחרי · יהוה, שם האלהים	פיוט #193 — צלות מועך הפסח במדינה
עשה כל	8	1.95	עושה · כל, כולו	פיוט #193 — צלות מועך הפסח במדינה
ישראל בטח	8	5.97	ישראל, שמו של יעקב · ביטחון, שלווה [מן העבר	פיוט #197 — צלות מועד הפסח במדינה
בטח בדד	8	10.77	ביטחון, שלווה [מן העבר · שם פרטי: בדד	פיוט #197 — צלות מועד הפסח במדינה
שנה תנימ יומה מאה	8	24.36	שנה · גודל, שיעור גדול · היום, כיום · מאה (100)	פיוט #197 — צלות מועד הפסח במדינה
באריה דכנ	8	11.67	אריה (lion) · וכן, והיה כן	פיוט #198 — מנוחה * ישימך עליה מועד
ישתבח באריה דכנ	8	21.72	ברוך · אריה (lion) · וכן, והיה כן	פיוט #198 — מנוחה * ישימך עליה מועד
באריה דכנ ברא	8	23.26	אריה (lion) · וכן, והיה כן · לברוא, לצור, לעשות	פיוט #198 — מנוחה * ישימך עליה מועד
ישתבח באריה דכנ ברא	8	33.31	ברוך · אריה (lion) · וכן, והיה כן · לברוא, לצור, לעשות	פיוט #198 — מנוחה * ישימך עליה מועד
רב שעתה	8	6.93	גדול · שעתה	פיוט #204 — לאשמחוחה : עם סדר קהל עבראוחה
קעומ על	8	3.69	עומד · על (מילת יחס)	פיוט #211 — צלות מועך הפסח במדינה
אה העדה	8	5.7	הנה · קהל, עדה, כנסייה	פיוט #211 — צלות מועך הפסח במדינה
זה נימר	8	4.28	זה, this · 1. אמירה, דיבור, מוצא 	פיוט #212 — צלית מועך הפסח במדינה
אלא בו	8	1.62	מילית קישור: אם לא, אל · בו	פיוט #217 — ויקבלבם וירחטכם ומועד מברך עליכם
יהוה עליו בכל	8	9.46	יהוה, שם האלהים · עליו · כל, כולו	פיוט #217 — ויקבלבם וירחטכם ומועד מברך עליכם
שלומ יהוה עליו בכל	8	19.93	שם פרטי שלום · יהוה, שם האלהים · עליו · כל, כולו	פיוט #217 — ויקבלבם וירחטכם ומועד מברך עליכם
בעלי המדע	8	9.33	בעלים (של דבר מה) · 1. תובנה, תפיסה, שכל, 	פיוט #218 — צלות מועד הפסח במדינה
באברהמ ויצחק	8	11.9	שם פרטי: אברהם · לצחוק	פיוט #220 — צלות מועד הפסח במדינה
מברכ עליכ	8	6.42	ברך · עליך	פיוט #229 — תנים יוטה מועדיכם
פה עמד	8	8.41	פֶּה · יציבה, עמידה	פיוט #231 — צלות מועך הפסח במדינה
תעשה לכ	8	4.97	לתווך בין שני עצמים המ · אותך	פיוט #234 — השביעי תשבת
יהוה אלהיכ אשר	8	9.91	יהוה, שם האלהים · אלוהות, God · דברים	פיוט #235 — צלות שבעת יומי חג המצות רמשז־ז
לא קעמ ולא	8	11.0	מילת שלילה והאיסור · might · מילת שלילה והאיסור	פיוט #237 — צלות שבעת יומי חג המצות רמשה
לא קעמ ולא יקומ	8	22.12	מילת שלילה והאיסור · might · מילת שלילה והאיסור · יקום	פיוט #237 — צלות שבעת יומי חג המצות רמשה
עמ ישר	8	4.42	דוד, דודן · ישראל	פיוט #239 — צלוח שבעת ממי תנ המצות צפרה
מנ זרע	8	2.77	דברים · זרע, זרייה בשדה	פיוט #241 — צלות שבעת יומי חג המצות צפרה
גדל לאלהינו	8	11.38	גדולה, עוצמה (greatnes · אלוהות, God	פיוט #244 — יומי חג המצות : שמח לנפוש העם הנושע
האל הגדול והגבור	8	21.22	שלושה · גדול · אדיר, גיבור	פיוט #245 — צלות שבעה יומי חג המצות צפרה
כל מקומה	8	4.92	כל, כולו · קומה, גובה	פיוט #246 — צלות שבעת יומי חג המצות צפרה
יהוב מתנאתה	8	12.04	נותן, מספק · מתנה (giving)	פיוט #248 — צלות שבעת יומי חג המצות צפרה
בינ ידיו	8	8.34	בין · תודה, הלל	פיוט #248 — צלות שבעת יומי חג המצות צפרה
בכל אתר ואתר	8	18.31	כל, כולו · מקום · אתון, נקבת החמור	פיוט #248 — צלות שבעת יומי חג המצות צפרה
אינ זה	8	3.28	אין · זה, this	פיוט #256 — צלות שבעת יומי הו . המצות צפרה
אמ בית	8	7.74	אם, יולדת · האות בית, אות ראשית של	פיוט #256 — צלות שבעת יומי הו . המצות צפרה
שמ מזבח	8	6.1	שם (בן נח) · מזבח	פיוט #257 — צלות שבעת יומי חג המצות צפרה
עלי אה	8	3.14	עלי · הנה	פיוט #260 — צלות שבעת יומי חג המצות צפרה
אשר שמו	8	2.11	דברים · שם, כינוי	פיוט #268 — צלות שבת מועך חג המצות
ולא תקחו	8	5.99	מילת שלילה והאיסור · תקחו	פיוט #270 — צלות שבת מועד חג המצות
וזה שער	8	8.2	זה, this · הערכה וחישוב, rate	פיוט #272 — צלות שבת מועך חג המצות
הכהנ אשר	8	2.51	כהן, משרת בקודש · דברים	פיוט #272 — צלות שבת מועך חג המצות
וזמרתי יהוה	8	4.47	התוועדות, פגישה · יהוה, שם האלהים	פיוט #272 — צלות שבת מועך חג המצות
עזי וזמרתי יהוה	8	16.9	כוח, עוז ורגלי · התוועדות, פגישה · יהוה, שם האלהים	פיוט #272 — צלות שבת מועך חג המצות
אל תיראו	8	5.6	אלוהות, אלהים · פחד, יראה	פיוט #274 — המושיע * אשי שמו משה : קטף כל נאשמה
ראה מה	8	3.43	לראות · מה	פיוט #277 — צלות שבת מועד חג המצות
יברככ יאיר	8	9.12	ברך · יאיר בר מנשה הלך וכבש 	פיוט #278 — צלות שבת מועך חנ המצות
אתמ ובניכמ	8	11.39	אשם, חובה, עוון · לבנות	פיוט #278 — צלות שבת מועך חנ המצות
יברככ יאיר ישא	8	20.95	ברך · יאיר בר מנשה הלך וכבש  · יש, ישנו	פיוט #278 — צלות שבת מועך חנ המצות
תקחו על	8	4.9	תקחו · על (מילת יחס)	פיוט #281 — צלות שבת מועד חג המצות
יצא מנ	8	3.29	לצאת, ללכת · דברים	פיוט #282 — השבת הזוביר • להרבן יוסף עליו הרצון
אתו על	8	1.81	אישה, woman · על (מילת יחס)	פיוט #282 — השבת הזוביר • להרבן יוסף עליו הרצון
מינ אדמ	8	9.2	מין, סוג, זן · אבן יקרה, גם	פיוט #286 — מועד • וננד לכל קרש
לכל אחד	8	3.79	לכל · אחד	פיוט #286 — מועד • וננד לכל קרש
ובנ עמרמ	8	7.23	בין · לבנות, להקים, לסדר	פיוט #293 — ופסחתי עליכם
ולא יאחזו	8	7.12	מילת שלילה והאיסור · לתפוס, לאחוז, to seize	פיוט #294 — וסדר בלראיה דאוקמו
בעל שיבה	8	10.21	בעל · צמח, שיח	פיוט #300 — המצות : י ה ה *דשם בו לעמו שמחות
מה טבכ	8	7.68	מה · gem, אבן טובה	פיוט #301 — צלות שבת מועד חג המצות
מנ דברי	8	2.89	דברים · נקי, זכאי, חף מאשמה, i	פיוט #303 — צלות שבת מועך חג המצות
קבלו וכי	8	8.95	חושך גדול, אפלה רבה · כי, ש־ (before object 	פיוט #310 — צלות שבת מועד חג המצות
קבלו וכי בשמ	8	18.21	חושך גדול, אפלה רבה · כי, ש־ (before object  · בשם	פיוט #310 — צלות שבת מועד חג המצות
ושמרת ועשית	8	11.63	שמירת מצוות האל, קיום  · עשייה, מעשה	פיוט #311 — דכור מן מימר עבד אלה בן שלמה ירחמו יהוה
אה עמי	8	3.86	הנה · חשכה, אפלה	פיוט #316 — המועד * בשרך ושלמותי
טבו ומה	8	6.68	חסד, טובה, מעשה טוב · ומה	פיוט #327 — צלות שבת מועך חג המצות
ולא יכל	8	4.89	מילת שלילה והאיסור · יכול	פיוט #328 — צלות שבת מועד חג המצות
אביכ ואמכ	8	12.88	אביך · 接続詞 (תנאי): אם — if (צ	פיוט #328 — צלות שבת מועד חג המצות
שלש פעמימ בשנה	8	23.29	שלוש · פעמים · שינה	פיוט #329 — צלות שבת מועד חג המצות
עד יהי	8	3.77	עד, כמקום (as far as)  · מהירות swiftness	פיוט #330 — לית לעורן בה נמי
אה סדר אחינו	8	17.37	הנה · סדר, שורה, טור · קרבת משפחה, אחווה (bro	פיוט #334 — צלות לילה מועד חג המצות רמשה
ליהוה אלהינו	8	5.27	יהוה, שם האלהים · אלוהות, God	פיוט #338 — צלית מועד חג המצית בהרנריזים
אמר לונ	8	4.35	1. אמירה, דיבור, מוצא  · להם	פיוט #345 — צלות מועד חג המצות בהרגריזים
וישמר יהוה	8	4.09	שמירת מצוות האל, קיום  · יהוה, שם האלהים	פיוט #348 — סדר דבבותו
מנ הבריה	8	2.96	דברים · ביריה	פיוט #350 — צלות מועד חג המצות בהרגריזים
יד הנביא הנאמנ	8	17.36	יד, אבר הגוף · נביא, prophet · עמידה, וקיום, התמדה, א	פיוט #354 — רכן ארכן וטרקה עבורה רעלמה תסתגד וחשתבח וישתבח
על יד הנביא הנאמנ	8	23.72	על (מילת יחס) · יד, אבר הגוף · נביא, prophet · עמידה, וקיום, התמדה, א	פיוט #354 — רכן ארכן וטרקה עבורה רעלמה תסתגד וחשתבח וישתבח
ואפרש לכ	8	4.62	להפריד, להבדיל (trans. · אותך	פיוט #359 — עורן כן ישתבח מן מימר כתובה יסלח לו חובה
דלערפלה נגש	8	13.15	ענן עבה (thick cloud) · להתקרב, לגשת	פיוט #359 — עורן כן ישתבח מן מימר כתובה יסלח לו חובה
בי בשמ ושמע	8	15.09	בית · בשם · ושמע	פיוט #367 — ואחר הו יהוה הנכבד וישתבח לא נדע בעלה
בי בשמ ושמע ישראל	8	23.07	בית · בשם · ושמע · ישראל, שמו של יעקב	פיוט #367 — ואחר הו יהוה הנכבד וישתבח לא נדע בעלה
וגו יתהלל	8	5.05	קרב, פנים, תוך, חלק פנ · שבח, praise	פיוט #369 — ולעלם תסתגד ולעלם תשתבח ותתחסל הצלות בטוב
אשר שמתי	8	7.16	דברים · to place, שם, הניח	פיוט #373 — יומיה ומרקה אתהו עבורן וישתבח
המחלה אשר שמתי	8	21.31	שם פרטי מַחְלָה · דברים · to place, שם, הניח	פיוט #373 — יומיה ומרקה אתהו עבורן וישתבח
אני יהוה רפאכ	8	15.81	דברים · יהוה, שם האלהים · רפואה, ריפוי	פיוט #373 — יומיה ומרקה אתהו עבורן וישתבח
תתחני תתחני	8	9.87	חני, בני גד צפון ושלונ · חני, בני גד צפון ושלונ	פיוט #376 — צלות השבת השני דמן שבע השבתות
עינות מימ	8	10.99	עין (איבר הראייה) · מים	פיוט #380 — ספר רראן וטרקה וישתבח ספר בראישית * על ויסע
ממכ כל	8	3.24	ממך · כל, כולו	פיוט #381 — זה השבת השלישי
אשר אהיה אלהי	8	9.07	דברים · קריאת פנייה, אהה · אלוהות, God	פיוט #382 — צלות השבת השלישי
אהיה אשר אהיה אלהי	8	17.08	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה · אלוהות, God	פיוט #382 — צלות השבת השלישי
הנביא משה	8	3.59	נביא, prophet · משה (שם פרטי)	פיוט #385 — לאדונן אלעזר יצק יהוח עליו
עמ משה	8	1.87	דוד, דודן · משה (שם פרטי)	פיוט #385 — לאדונן אלעזר יצק יהוח עליו
את יהוה אלהיכ	8	10.5	אתה (כינוי גוף שני זכר · יהוה, שם האלהים · אלוהות, God	פיוט #389 — צלות לילה הפסח השני
